"カード名","マナコスト","タイプ","テキスト","オラクル","Ｐ／Ｔ","忠誠度","フレーバ","イラスト","セット等","再録"
"繁殖苗床/Spawning Bed ",,"土地 ",,"{T}: Add {1} to your mana pool.{6}, {T}, Sacrifice Spawning Bed: Put three 1/1 colorless Eldrazi Scion creature tokens onto the battlefield. They have ""Sacrifice this creature: Add {1} to your mana pool.""",-,-,,"Jason Felix","アンコモン, 戦乱のゼンディカー (248/274) ",-
"窪み渓谷/Sunken Hollow ",,"土地 — 島(Island)・沼(Swamp) ",,"（{T}: Add {U} or {B} to your mana pool.）Sunken Hollow enters the battlefield tapped unless you control two or more basic lands.",-,-,,"Adam Paquette","レア, 戦乱のゼンディカー (249/274) ",-
"平地/Plains （へいち） ",,"基本土地 — 平地(Plains) ","(白)",W,-,-,,"Noah Bradley","基本土地, 戦乱のゼンディカー (250/274) ","BFZ ORI DTK FRF KTK M15 THS M14 RTR M13 AVR ISD M12 NPH MBS SOM M11 ROE ZEN M10 ALA SHM LRW 10E TSP RAV 9ED CHK MRD 8ED ONS ODY 7ED INV MMQ 6ED USG TMP 5ED MIR ICE 4ED 3ED 2ED LEB LEA PTK P02 POR S99 PC2 HOP C14 C13 CMD ME3 MED _BR ARC DDE DDN DDL DDK DDI DDH DDG DDF DDC H09 UNH UGL "
"平地/Plains （へいち） ",,"基本土地 — 平地(Plains) ","(白)",W,-,-,,"Sam Burley","基本土地, 戦乱のゼンディカー (251/274) ","BFZ ORI DTK FRF KTK M15 THS M14 RTR M13 AVR ISD M12 NPH MBS SOM M11 ROE ZEN M10 ALA SHM LRW 10E TSP RAV 9ED CHK MRD 8ED ONS ODY 7ED INV MMQ 6ED USG TMP 5ED MIR ICE 4ED 3ED 2ED LEB LEA PTK P02 POR S99 PC2 HOP C14 C13 CMD ME3 MED _BR ARC DDE DDN DDL DDK DDI DDH DDG DDF DDC H09 UNH UGL "
"平地/Plains （へいち） ",,"基本土地 — 平地(Plains) ","(白)",W,-,-,,"Adam Paquette","基本土地, 戦乱のゼンディカー (252/274) ","BFZ ORI DTK FRF KTK M15 THS M14 RTR M13 AVR ISD M12 NPH MBS SOM M11 ROE ZEN M10 ALA SHM LRW 10E TSP RAV 9ED CHK MRD 8ED ONS ODY 7ED INV MMQ 6ED USG TMP 5ED MIR ICE 4ED 3ED 2ED LEB LEA PTK P02 POR S99 PC2 HOP C14 C13 CMD ME3 MED _BR ARC DDE DDN DDL DDK DDI DDH DDG DDF DDC H09 UNH UGL "
"平地/Plains （へいち） ",,"基本土地 — 平地(Plains) ","(白)",W,-,-,,"Vincent Proce","基本土地, 戦乱のゼンディカー (253/274) ","BFZ ORI DTK FRF KTK M15 THS M14 RTR M13 AVR ISD M12 NPH MBS SOM M11 ROE ZEN M10 ALA SHM LRW 10E TSP RAV 9ED CHK MRD 8ED ONS ODY 7ED INV MMQ 6ED USG TMP 5ED MIR ICE 4ED 3ED 2ED LEB LEA PTK P02 POR S99 PC2 HOP C14 C13 CMD ME3 MED _BR ARC DDE DDN DDL DDK DDI DDH DDG DDF DDC H09 UNH UGL "
"平地/Plains （へいち） ",,"基本土地 — 平地(Plains) ","(白)",W,-,-,,"Tianhua X","基本土地, 戦乱のゼンディカー (254/274) ","BFZ ORI DTK FRF KTK M15 THS M14 RTR M13 AVR ISD M12 NPH MBS SOM M11 ROE ZEN M10 ALA SHM LRW 10E TSP RAV 9ED CHK MRD 8ED ONS ODY 7ED INV MMQ 6ED USG TMP 5ED MIR ICE 4ED 3ED 2ED LEB LEA PTK P02 POR S99 PC2 HOP C14 C13 CMD ME3 MED _BR ARC DDE DDN DDL DDK DDI DDH DDG DDF DDC H09 UNH UGL "
"島/Island （しま） ",,"基本土地 — 島(Island) ","(青)",U,-,-,,"Noah Bradley","基本土地, 戦乱のゼンディカー (255/274) ","BFZ ORI DTK FRF KTK M15 THS M14 RTR M13 AVR ISD M12 NPH MBS SOM M11 ROE ZEN M10 ALA SHM LRW 10E TSP RAV 9ED CHK MRD 8ED ONS ODY 7ED INV MMQ 6ED USG TMP 5ED MIR ICE 4ED 3ED 2ED LEB LEA PTK P02 POR S99 PC2 HOP C14 C13 CMD ME3 MED _BR _BD ARC DDE DDN DDM DDJ DDI DDH DDF DD2 H09 UNH UGL "
"島/Island （しま） ",,"基本土地 — 島(Island) ","(青)",U,-,-,,"Sam Burley","基本土地, 戦乱のゼンディカー (256/274) ","BFZ ORI DTK FRF KTK M15 THS M14 RTR M13 AVR ISD M12 NPH MBS SOM M11 ROE ZEN M10 ALA SHM LRW 10E TSP RAV 9ED CHK MRD 8ED ONS ODY 7ED INV MMQ 6ED USG TMP 5ED MIR ICE 4ED 3ED 2ED LEB LEA PTK P02 POR S99 PC2 HOP C14 C13 CMD ME3 MED _BR _BD ARC DDE DDN DDM DDJ DDI DDH DDF DD2 H09 UNH UGL "
"島/Island （しま） ",,"基本土地 — 島(Island) ","(青)",U,-,-,,"Adam Paquette","基本土地, 戦乱のゼンディカー (257/274) ","BFZ ORI DTK FRF KTK M15 THS M14 RTR M13 AVR ISD M12 NPH MBS SOM M11 ROE ZEN M10 ALA SHM LRW 10E TSP RAV 9ED CHK MRD 8ED ONS ODY 7ED INV MMQ 6ED USG TMP 5ED MIR ICE 4ED 3ED 2ED LEB LEA PTK P02 POR S99 PC2 HOP C14 C13 CMD ME3 MED _BR _BD ARC DDE DDN DDM DDJ DDI DDH DDF DD2 H09 UNH UGL "
"島/Island （しま） ",,"基本土地 — 島(Island) ","(青)",U,-,-,,"Vincent Proce","基本土地, 戦乱のゼンディカー (258/274) ","BFZ ORI DTK FRF KTK M15 THS M14 RTR M13 AVR ISD M12 NPH MBS SOM M11 ROE ZEN M10 ALA SHM LRW 10E TSP RAV 9ED CHK MRD 8ED ONS ODY 7ED INV MMQ 6ED USG TMP 5ED MIR ICE 4ED 3ED 2ED LEB LEA PTK P02 POR S99 PC2 HOP C14 C13 CMD ME3 MED _BR _BD ARC DDE DDN DDM DDJ DDI DDH DDF DD2 H09 UNH UGL "
"島/Island （しま） ",,"基本土地 — 島(Island) ","(青)",U,-,-,,"Tianhua X","基本土地, 戦乱のゼンディカー (259/274) ","BFZ ORI DTK FRF KTK M15 THS M14 RTR M13 AVR ISD M12 NPH MBS SOM M11 ROE ZEN M10 ALA SHM LRW 10E TSP RAV 9ED CHK MRD 8ED ONS ODY 7ED INV MMQ 6ED USG TMP 5ED MIR ICE 4ED 3ED 2ED LEB LEA PTK P02 POR S99 PC2 HOP C14 C13 CMD ME3 MED _BR _BD ARC DDE DDN DDM DDJ DDI DDH DDF DD2 H09 UNH UGL "
"沼/Swamp （ぬま） ",,"基本土地 — 沼(Swamp) ","(黒)",B,-,-,,"Noah Bradley","基本土地, 戦乱のゼンディカー (260/274) ","BFZ ORI DTK FRF KTK M15 THS M14 RTR M13 AVR ISD M12 NPH MBS SOM M11 ROE ZEN M10 ALA SHM LRW 10E TSP RAV 9ED CHK MRD 8ED ONS ODY 7ED INV MMQ 6ED USG TMP 5ED MIR ICE 4ED 3ED 2ED LEB LEA PTK P02 POR S99 PC2 HOP C14 C13 CMD ME3 MED _BR _BD ARC DDE DDN DDM DDK DDJ DDH DDD DDC PD3 H09 UNH UGL "
"沼/Swamp （ぬま） ",,"基本土地 — 沼(Swamp) ","(黒)",B,-,-,,"Sam Burley","基本土地, 戦乱のゼンディカー (261/274) ","BFZ ORI DTK FRF KTK M15 THS M14 RTR M13 AVR ISD M12 NPH MBS SOM M11 ROE ZEN M10 ALA SHM LRW 10E TSP RAV 9ED CHK MRD 8ED ONS ODY 7ED INV MMQ 6ED USG TMP 5ED MIR ICE 4ED 3ED 2ED LEB LEA PTK P02 POR S99 PC2 HOP C14 C13 CMD ME3 MED _BR _BD ARC DDE DDN DDM DDK DDJ DDH DDD DDC PD3 H09 UNH UGL "
"沼/Swamp （ぬま） ",,"基本土地 — 沼(Swamp) ","(黒)",B,-,-,,"Adam Paquette","基本土地, 戦乱のゼンディカー (262/274) ","BFZ ORI DTK FRF KTK M15 THS M14 RTR M13 AVR ISD M12 NPH MBS SOM M11 ROE ZEN M10 ALA SHM LRW 10E TSP RAV 9ED CHK MRD 8ED ONS ODY 7ED INV MMQ 6ED USG TMP 5ED MIR ICE 4ED 3ED 2ED LEB LEA PTK P02 POR S99 PC2 HOP C14 C13 CMD ME3 MED _BR _BD ARC DDE DDN DDM DDK DDJ DDH DDD DDC PD3 H09 UNH UGL "
"沼/Swamp （ぬま） ",,"基本土地 — 沼(Swamp) ","(黒)",B,-,-,,"Jung Park","基本土地, 戦乱のゼンディカー (263/274) ","BFZ ORI DTK FRF KTK M15 THS M14 RTR M13 AVR ISD M12 NPH MBS SOM M11 ROE ZEN M10 ALA SHM LRW 10E TSP RAV 9ED CHK MRD 8ED ONS ODY 7ED INV MMQ 6ED USG TMP 5ED MIR ICE 4ED 3ED 2ED LEB LEA PTK P02 POR S99 PC2 HOP C14 C13 CMD ME3 MED _BR _BD ARC DDE DDN DDM DDK DDJ DDH DDD DDC PD3 H09 UNH UGL "
"沼/Swamp （ぬま） ",,"基本土地 — 沼(Swamp) ","(黒)",B,-,-,,"Tianhua X","基本土地, 戦乱のゼンディカー (264/274) ","BFZ ORI DTK FRF KTK M15 THS M14 RTR M13 AVR ISD M12 NPH MBS SOM M11 ROE ZEN M10 ALA SHM LRW 10E TSP RAV 9ED CHK MRD 8ED ONS ODY 7ED INV MMQ 6ED USG TMP 5ED MIR ICE 4ED 3ED 2ED LEB LEA PTK P02 POR S99 PC2 HOP C14 C13 CMD ME3 MED _BR _BD ARC DDE DDN DDM DDK DDJ DDH DDD DDC PD3 H09 UNH UGL "
"山/Mountain （やま） ",,"基本土地 — 山(Mountain) ",(赤),R,-,-,,"Noah Bradley","基本土地, 戦乱のゼンディカー (265/274) ","BFZ ORI DTK FRF KTK M15 THS M14 RTR M13 AVR ISD M12 NPH MBS SOM M11 ROE ZEN M10 ALA SHM LRW 10E TSP RAV 9ED CHK MRD 8ED ONS ODY 7ED INV MMQ 6ED USG TMP 5ED MIR ICE 4ED 3ED ARN 2ED LEB LEA PTK P02 POR S99 PC2 HOP C14 C13 CMD ME3 MED _BR _BD ARC DDE DDN DDL DDK DDJ DDI DDH DDG DD2 EVG PD2 H09 UNH UGL "
"山/Mountain （やま） ",,"基本土地 — 山(Mountain) ",(赤),R,-,-,,"Sam Burley","基本土地, 戦乱のゼンディカー (266/274) ","BFZ ORI DTK FRF KTK M15 THS M14 RTR M13 AVR ISD M12 NPH MBS SOM M11 ROE ZEN M10 ALA SHM LRW 10E TSP RAV 9ED CHK MRD 8ED ONS ODY 7ED INV MMQ 6ED USG TMP 5ED MIR ICE 4ED 3ED ARN 2ED LEB LEA PTK P02 POR S99 PC2 HOP C14 C13 CMD ME3 MED _BR _BD ARC DDE DDN DDL DDK DDJ DDI DDH DDG DD2 EVG PD2 H09 UNH UGL "
"山/Mountain （やま） ",,"基本土地 — 山(Mountain) ",(赤),R,-,-,,"Véronique Meignaud","基本土地, 戦乱のゼンディカー (267/274) ","BFZ ORI DTK FRF KTK M15 THS M14 RTR M13 AVR ISD M12 NPH MBS SOM M11 ROE ZEN M10 ALA SHM LRW 10E TSP RAV 9ED CHK MRD 8ED ONS ODY 7ED INV MMQ 6ED USG TMP 5ED MIR ICE 4ED 3ED ARN 2ED LEB LEA PTK P02 POR S99 PC2 HOP C14 C13 CMD ME3 MED _BR _BD ARC DDE DDN DDL DDK DDJ DDI DDH DDG DD2 EVG PD2 H09 UNH UGL "
"山/Mountain （やま） ",,"基本土地 — 山(Mountain) ",(赤),R,-,-,,"Adam Paquette","基本土地, 戦乱のゼンディカー (268/274) ","BFZ ORI DTK FRF KTK M15 THS M14 RTR M13 AVR ISD M12 NPH MBS SOM M11 ROE ZEN M10 ALA SHM LRW 10E TSP RAV 9ED CHK MRD 8ED ONS ODY 7ED INV MMQ 6ED USG TMP 5ED MIR ICE 4ED 3ED ARN 2ED LEB LEA PTK P02 POR S99 PC2 HOP C14 C13 CMD ME3 MED _BR _BD ARC DDE DDN DDL DDK DDJ DDI DDH DDG DD2 EVG PD2 H09 UNH UGL "
"山/Mountain （やま） ",,"基本土地 — 山(Mountain) ",(赤),R,-,-,,"Tianhua X","基本土地, 戦乱のゼンディカー (269/274) ","BFZ ORI DTK FRF KTK M15 THS M14 RTR M13 AVR ISD M12 NPH MBS SOM M11 ROE ZEN M10 ALA SHM LRW 10E TSP RAV 9ED CHK MRD 8ED ONS ODY 7ED INV MMQ 6ED USG TMP 5ED MIR ICE 4ED 3ED ARN 2ED LEB LEA PTK P02 POR S99 PC2 HOP C14 C13 CMD ME3 MED _BR _BD ARC DDE DDN DDL DDK DDJ DDI DDH DDG DD2 EVG PD2 H09 UNH UGL "
"森/Forest （もり） ",,"基本土地 — 森(Forest) ","(緑)",G,-,-,,"Noah Bradley","基本土地, 戦乱のゼンディカー (270/274) ","BFZ ORI DTK FRF KTK M15 THS M14 RTR M13 AVR ISD M12 NPH MBS SOM M11 ROE ZEN M10 ALA SHM LRW 10E TSP RAV 9ED CHK MRD 8ED ONS ODY 7ED INV MMQ 6ED USG TMP 5ED MIR ICE 4ED 3ED 2ED LEB LEA PTK P02 POR S99 PC2 HOP C14 C13 CMD ME3 MED _BR _BD ARC DDE DDM DDL DDJ DDH DDG DDD EVG H09 UNH UGL "
"森/Forest （もり） ",,"基本土地 — 森(Forest) ","(緑)",G,-,-,,"Sam Burley","基本土地, 戦乱のゼンディカー (271/274) ","BFZ ORI DTK FRF KTK M15 THS M14 RTR M13 AVR ISD M12 NPH MBS SOM M11 ROE ZEN M10 ALA SHM LRW 10E TSP RAV 9ED CHK MRD 8ED ONS ODY 7ED INV MMQ 6ED USG TMP 5ED MIR ICE 4ED 3ED 2ED LEB LEA PTK P02 POR S99 PC2 HOP C14 C13 CMD ME3 MED _BR _BD ARC DDE DDM DDL DDJ DDH DDG DDD EVG H09 UNH UGL "
"森/Forest （もり） ",,"基本土地 — 森(Forest) ","(緑)",G,-,-,,"Adam Paquette","基本土地, 戦乱のゼンディカー (272/274) ","BFZ ORI DTK FRF KTK M15 THS M14 RTR M13 AVR ISD M12 NPH MBS SOM M11 ROE ZEN M10 ALA SHM LRW 10E TSP RAV 9ED CHK MRD 8ED ONS ODY 7ED INV MMQ 6ED USG TMP 5ED MIR ICE 4ED 3ED 2ED LEB LEA PTK P02 POR S99 PC2 HOP C14 C13 CMD ME3 MED _BR _BD ARC DDE DDM DDL DDJ DDH DDG DDD EVG H09 UNH UGL "
"森/Forest （もり） ",,"基本土地 — 森(Forest) ","(緑)",G,-,-,,"Vincent Proce","基本土地, 戦乱のゼンディカー (273/274) ","BFZ ORI DTK FRF KTK M15 THS M14 RTR M13 AVR ISD M12 NPH MBS SOM M11 ROE ZEN M10 ALA SHM LRW 10E TSP RAV 9ED CHK MRD 8ED ONS ODY 7ED INV MMQ 6ED USG TMP 5ED MIR ICE 4ED 3ED 2ED LEB LEA PTK P02 POR S99 PC2 HOP C14 C13 CMD ME3 MED _BR _BD ARC DDE DDM DDL DDJ DDH DDG DDD EVG H09 UNH UGL "
"森/Forest （もり） ",,"基本土地 — 森(Forest) ","(緑)",G,-,-,,"Tianhua X","基本土地, 戦乱のゼンディカー (274/274) ","BFZ ORI DTK FRF KTK M15 THS M14 RTR M13 AVR ISD M12 NPH MBS SOM M11 ROE ZEN M10 ALA SHM LRW 10E TSP RAV 9ED CHK MRD 8ED ONS ODY 7ED INV MMQ 6ED USG TMP 5ED MIR ICE 4ED 3ED 2ED LEB LEA PTK P02 POR S99 PC2 HOP C14 C13 CMD ME3 MED _BR _BD ARC DDE DDM DDL DDJ DDH DDG DDD EVG H09 UNH UGL "
